id,rank,rankUpDown,title,fullTitle,year,image,crew,imDbRating,imDbRatingCount
tt13274016,1,0,Reptile,Reptile (2023),2023,https://m.media-amazon.com/images/M/MV5BMTA0MmNhNzUtZjVhNC00MmM5LWExYzYtZmQ0ZWEwZTIxMGExXkEyXkFqcGdeQXVyODMyNDEyNjM@._V1_Ratio0.6763_AL_.jpg,"Grant Singer (director), Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone",6.8,46819
tt16304446,2,+18,Fair Play,Fair Play (2023),2023,https://m.media-amazon.com/images/M/MV5BYTkyNGViMmQtODgxZS00MDg3LWI2YWUtNzQ3YWNlYTFiMWMyXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_Ratio0.6763_AL_.jpg,"Chloe Domont (director), Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer",6.5,18020
tt11426232,3,+20,Totally Killer,Totally Killer (2023),2023,https://m.media-amazon.com/images/M/MV5BYzQwYzY4YWUtNDMxMS00Y2UxLTlhODQtY2ExZDY5ZDhhZGMzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_Ratio0.6763_AL_.jpg,"Nahnatchka Khan (director), Kiernan Shipka, Olivia Holt, Charlie Gillespie, Lochlyn Munro",6.6,22810
tt12921446,4,+1,The Exorcist: Believer,The Exorcist: Believer (2023),2023,https://m.media-amazon.com/images/M/MV5BMzVjZWUzNDUtZTQxMi00N2QzLWJjMzQtZTc4ZTU2YWEzNDA3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6763_AL_.jpg,"David Gordon Green (director), Linda Blair, Ellen Burstyn, Olivia O'Neill, Jennifer Nettles",5.1,14075
tt11858890,5,-3,The Creator,The Creator (2023),2023,https://m.media-amazon.com/images/M/MV5BNDUyNTIzNDQtYTZmMi00M2FlLTgyZjUtYWViZWNhMDYzMjE4XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_Ratio0.6763_AL_.jpg,"Gareth Edwards (director), John David Washington, Madeleine Yuna Voyles, Gemma Chan, Allison Janney",7.1,42539
tt5537002,6,+5,Killers of the Flower Moon,Killers of the Flower Moon (2023),2023,https://m.media-amazon.com/images/M/MV5BNjQwOGM2YTItMGYwNC00YTM4LWI0Y2QtZjQ2ZDcyMmRjMTFhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_Ratio0.6763_AL_.jpg,"Martin Scorsese (director), Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons",8.3,18484
tt21807222,7,-4,Saw X,Saw X (2023),2023,https://m.media-amazon.com/images/M/MV5BMmJhYjBkMzgtZGIwMC00YTAzLWE4NTQtYzVkNDVmYjIzODI0XkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_Ratio0.6763_AL_.jpg,"Kevin Greutert (director), Tobin Bell, Shawnee Smith, Synnøve Macody Lund, Steven Brand",7,25204
tt1695843,8,+1,Haunted Mansion,Haunted Mansion (2023),2023,https://m.media-amazon.com/images/M/MV5BNTlmZmFkYTEtMDM4NS00NTgzLWFhODEtZjMxOTlmN2QxZTdiXkEyXkFqcGdeQXVyMTMzOTQyOTk1._V1_Ratio0.6763_AL_.jpg,"Justin Simien (director), LaKeith Stanfield, Rosario Dawson, Owen Wilson, Tiffany Haddish",6.1,27205
tt15789472,9,-5,Nowhere,Nowhere (2023),2023,https://m.media-amazon.com/images/M/MV5BNmEyOWU2NjctMzY0Zi00NzBkLTg3YzAtNDI3MGE4ZTkyZTQ0XkEyXkFqcGdeQXVyMzQyMDgzOTU@._V1_Ratio0.6763_AL_.jpg,"Albert Pintó (director), Anna Castillo, Tamar Novas, Tony Corvillo, Mariam Torres",6.4,20186
tt21064584,10,+382,The Iron Claw,The Iron Claw (2023),2023,https://m.media-amazon.com/images/M/MV5BNTMyNmNlYjItNmM2Yi00YWViLTk5Y2MtNGI4YWEyOWU4N2U2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_Ratio0.6763_AL_.jpg,"Sean Durkin (director), Zac Efron, Jeremy Allen White, Harris Dickinson, Grady Wilson",,0
