imDbRating,rank,rankUpDown,fullTitle,year,imDbRatingCount,rank,rankUpDown,fullTitle,year,imDbRatingCount
6.8,1,0,Reptile (2023),2023,46819,71,+483,Us (2019),2019,326909
6.5,2,+18,Fair Play (2023),2023,18020,2,+18,Fair Play (2023),2023,18020
6.6,3,+20,Totally Killer (2023),2023,22810,89,-28,Asteroid City (2023),2023,80965
5.1,4,+1,The Exorcist: Believer (2023),2023,14075,90,+40,The Haunted Mansion (2003),2003,55009
7.1,5,-3,The Creator (2023),2023,42539,94,-64,Flora and Son (2023),2023,6298
8.3,6,+5,Killers of the Flower Moon (2023),2023,18484,6,+5,Killers of the Flower Moon (2023),2023,18484
7,7,-4,Saw X (2023),2023,25204,84,-30,Bottoms (2023),2023,15726
6.1,8,+1,Haunted Mansion (2023),2023,27205,53,-17,Blue Beetle (2023),2023,55162
6.4,9,-5,Nowhere (2023),2023,20186,48,-4,No Hard Feelings (2023),2023,84469
7.8,11,+13,Mission: Impossible - Dead Reckoning Part One (2023),2023,165100,47,+1,John Wick: Chapter 4 (2023),2023,288075
6.9,12,-2,The Equalizer 3 (2023),2023,51388,88,-43,Love at First Sight (2023),2023,21075
7,14,-2,Barbie (2023),2023,361824,84,-30,Bottoms (2023),2023,15726
4.7,15,+28,Pet Sematary: Bloodlines (2023),2023,5720,15,+28,Pet Sematary: Bloodlines (2023),2023,5720
7.2,16,+1,Talk to Me (2022),2022,82567,76,+3,The Equalizer (2014),2014,402260
6.3,17,-10,No One Will Save You (2023),2023,42068,35,+64,Strays (2023),2023,17054
8.5,18,+1,Oppenheimer (2023),2023,464095,46,0,Poor Things (2023),2023,2112
7.1,19,+262,The Burial (2023),2023,8710,94,-64,Flora and Son (2023),2023,6298
7.8,20,-2,Sound of Freedom (2023),2023,74535,47,+1,John Wick: Chapter 4 (2023),2023,288075
4.9,21,+6,Expend4bles (2023),2023,17453,21,+6,Expend4bles (2023),2023,17453
8.1,22,-1,The Exorcist (1973),1973,439276,22,-1,The Exorcist (1973),1973,439276
5.7,23,-10,The Nun II (2023),2023,34960,40,+95,V/H/S/85 (2023),2023,3446
6.4,24,+164,Friday the 13th (1980),1980,152424,48,-4,No Hard Feelings (2023),2023,84469
6.2,25,+93,Ballerina (2023),2023,5540,25,+93,Ballerina (2023),2023,5540
6.8,26,-12,A Haunting in Venice (2023),2023,32223,71,+483,Us (2019),2019,326909
5.8,27,+364,Pain Hustlers (2023),2023,339,81,+6379,The Conference (2023),2023,5007
6.6,28,+4,X (2022),2022,148587,89,-28,Asteroid City (2023),2023,80965
7.4,29,-21,The Wonderful Story of Henry Sugar (2023),2023,34598,73,+224,When Evil Lurks (2023),2023,732
6.9,30,+27,Hocus Pocus (1993),1993,150213,88,-43,Love at First Sight (2023),2023,21075
5.9,31,+51,The Boogeyman (2023),2023,32628,98,+29,Cocaine Bear (2023),2023,94653
6.1,32,+62,Casper (1995),1995,142880,53,-17,Blue Beetle (2023),2023,55162
8.5,33,+293,Taylor Swift: The Eras Tour (2023),2023,7301,46,0,Poor Things (2023),2023,2112
7,34,-8,Elemental (2023),2023,86525,84,-30,Bottoms (2023),2023,15726
6.3,35,+64,Strays (2023),2023,17054,35,+64,Strays (2023),2023,17054
6.1,36,+11,Khufiya (2023),2023,3738,53,-17,Blue Beetle (2023),2023,55162
7.8,38,+520,OMG 2 (2023),2023,30191,47,+1,John Wick: Chapter 4 (2023),2023,288075
7.2,39,-14,Gran Turismo (2023),2023,47144,76,+3,The Equalizer (2014),2014,402260
5.7,40,+95,V/H/S/85 (2023),2023,3446,40,+95,V/H/S/85 (2023),2023,3446
7.8,41,+136,Get Out (2017),2017,663227,47,+1,John Wick: Chapter 4 (2023),2023,288075
7.6,42,-9,Saw (2004),2004,451555,93,-37,Harry Potter and the Sorcerer's Stone (2001),2001,828921
5.8,43,+118,Desperation Road (2023),2023,1183,81,+6379,The Conference (2023),2023,5007
5.1,44,-22,Meg 2: The Trench (2023),2023,58244,90,+40,The Haunted Mansion (2003),2003,55009
7.1,45,-10,Dumb Money (2023),2023,7919,94,-64,Flora and Son (2023),2023,6298
8.5,46,0,Poor Things (2023),2023,2112,46,0,Poor Things (2023),2023,2112
7.8,47,+1,John Wick: Chapter 4 (2023),2023,288075,47,+1,John Wick: Chapter 4 (2023),2023,288075
6.4,48,-4,No Hard Feelings (2023),2023,84469,48,-4,No Hard Feelings (2023),2023,84469
5.4,49,+111,The Kill Room (2023),2023,1399,49,+111,The Kill Room (2023),2023,1399
4.6,50,-22,After Everything (2023),2023,3206,50,-22,After Everything (2023),2023,3206
7.1,52,+585,American Made (2017),2017,200122,94,-64,Flora and Son (2023),2023,6298
6.1,53,-17,Blue Beetle (2023),2023,55162,53,-17,Blue Beetle (2023),2023,55162
6,54,-20,PAW Patrol: The Mighty Movie (2023),2023,2275,54,-20,PAW Patrol: The Mighty Movie (2023),2023,2275
7.5,55,+17,Beetlejuice (1988),1988,324610,63,-13,The Covenant (2023),2023,132233
7.9,56,+37,The Nightmare Before Christmas (1993),1993,360080,80,-13,Guardians of the Galaxy Vol. 3 (2023),2023,333216
7.2,57,-16,The Little Mermaid (2023),2023,139087,76,+3,The Equalizer (2014),2014,402260
6.7,58,+50,Trick 'r Treat (2007),2007,100479,92,-77,Priscilla (2023),2023,910
5.3,60,+229,It Lives Inside (2023),2023,2968,78,-15,The Nun (2018),2018,161923
8.7,61,-9,Spider-Man: Across the Spider-Verse (2023),2023,278830,61,-9,Spider-Man: Across the Spider-Verse (2023),2023,278830
7.5,63,-13,The Covenant (2023),2023,132233,63,-13,The Covenant (2023),2023,132233
5.3,64,+7491,The Mill (2023),2023,1075,78,-15,The Nun (2018),2018,161923
7.3,65,-25,Teenage Mutant Ninja Turtles: Mutant Mayhem (2023),2023,45445,99,-46,A Million Miles Away (2023),2023,14129
7.6,66,-24,Forgotten Love (2023),2023,4477,93,-37,Harry Potter and the Sorcerer's Stone (2001),2001,828921
7.4,67,+17,Scream (1996),1996,375215,73,+224,When Evil Lurks (2023),2023,732
6.6,68,-31,The Blind (2023),2023,996,89,-28,Asteroid City (2023),2023,80965
7.2,69,+54,The Lost Boys (1987),1987,155324,76,+3,The Equalizer (2014),2014,402260
7.7,70,+815,Mission Raniganj (2023),2023,11711,72,+19,Halloween (1978),1978,296402
6.8,71,+483,Us (2019),2019,326909,71,+483,Us (2019),2019,326909
7.7,72,+19,Halloween (1978),1978,296402,72,+19,Halloween (1978),1978,296402
7.4,73,+224,When Evil Lurks (2023),2023,732,73,+224,When Evil Lurks (2023),2023,732
8,74,-4,Dune (2021),2021,721347,79,-19,Past Lives (2023),2023,33890
7,75,+62,Pearl (2022),2022,75096,84,-30,Bottoms (2023),2023,15726
7.2,76,+3,The Equalizer (2014),2014,402260,76,+3,The Equalizer (2014),2014,402260
5.2,77,+5369,Awareness (2023),2023,1269,77,+5369,Awareness (2023),2023,1269
5.3,78,-15,The Nun (2018),2018,161923,78,-15,The Nun (2018),2018,161923
8,79,-19,Past Lives (2023),2023,33890,79,-19,Past Lives (2023),2023,33890
7.9,80,-13,Guardians of the Galaxy Vol. 3 (2023),2023,333216,80,-13,Guardians of the Galaxy Vol. 3 (2023),2023,333216
5.8,81,+6379,The Conference (2023),2023,5007,81,+6379,The Conference (2023),2023,5007
2.9,82,+7,Winnie the Pooh: Blood and Honey (2023),2023,22143,82,+7,Winnie the Pooh: Blood and Honey (2023),2023,22143
5.6,83,+1051,Ma (2019),2019,57546,83,+1051,Ma (2019),2019,57546
7,84,-30,Bottoms (2023),2023,15726,84,-30,Bottoms (2023),2023,15726
7.3,85,-21,Dungeons & Dragons: Honor Among Thieves (2023),2023,193557,99,-46,A Million Miles Away (2023),2023,14129
8.2,86,-18,The Wolf of Wall Street (2013),2013,1518259,86,-18,The Wolf of Wall Street (2013),2013,1518259
9.3,87,-16,The Shawshank Redemption (1994),1994,2810400,87,-16,The Shawshank Redemption (1994),1994,2810400
6.9,88,-43,Love at First Sight (2023),2023,21075,88,-43,Love at First Sight (2023),2023,21075
6.6,89,-28,Asteroid City (2023),2023,80965,89,-28,Asteroid City (2023),2023,80965
5.1,90,+40,The Haunted Mansion (2003),2003,55009,90,+40,The Haunted Mansion (2003),2003,55009
6.7,91,-22,Indiana Jones and the Dial of Destiny (2023),2023,135201,92,-77,Priscilla (2023),2023,910
6.7,92,-77,Priscilla (2023),2023,910,92,-77,Priscilla (2023),2023,910
7.6,93,-37,Harry Potter and the Sorcerer's Stone (2001),2001,828921,93,-37,Harry Potter and the Sorcerer's Stone (2001),2001,828921
7.1,94,-64,Flora and Son (2023),2023,6298,94,-64,Flora and Son (2023),2023,6298
8.4,96,+40,The Shining (1980),1980,1075318,96,+40,The Shining (1980),1980,1075318
5.5,97,+305,Friday the 13th (2009),2009,114446,97,+305,Friday the 13th (2009),2009,114446
5.9,98,+29,Cocaine Bear (2023),2023,94653,98,+29,Cocaine Bear (2023),2023,94653
7.3,99,-46,A Million Miles Away (2023),2023,14129,99,-46,A Million Miles Away (2023),2023,14129
6.8,1,0,Reptile (2023),2023,46819,26,-12,A Haunting in Venice (2023),2023,32223
6.6,3,+20,Totally Killer (2023),2023,22810,68,-31,The Blind (2023),2023,996
5.1,4,+1,The Exorcist: Believer (2023),2023,14075,44,-22,Meg 2: The Trench (2023),2023,58244
7.1,5,-3,The Creator (2023),2023,42539,52,+585,American Made (2017),2017,200122
7,7,-4,Saw X (2023),2023,25204,75,+62,Pearl (2022),2022,75096
6.1,8,+1,Haunted Mansion (2023),2023,27205,36,+11,Khufiya (2023),2023,3738
6.4,9,-5,Nowhere (2023),2023,20186,24,+164,Friday the 13th (1980),1980,152424
7.8,11,+13,Mission: Impossible - Dead Reckoning Part One (2023),2023,165100,41,+136,Get Out (2017),2017,663227
6.9,12,-2,The Equalizer 3 (2023),2023,51388,30,+27,Hocus Pocus (1993),1993,150213
7,14,-2,Barbie (2023),2023,361824,75,+62,Pearl (2022),2022,75096
7.2,16,+1,Talk to Me (2022),2022,82567,69,+54,The Lost Boys (1987),1987,155324
6.3,17,-10,No One Will Save You (2023),2023,42068,17,-10,No One Will Save You (2023),2023,42068
8.5,18,+1,Oppenheimer (2023),2023,464095,33,+293,Taylor Swift: The Eras Tour (2023),2023,7301
7.1,19,+262,The Burial (2023),2023,8710,52,+585,American Made (2017),2017,200122
7.8,20,-2,Sound of Freedom (2023),2023,74535,41,+136,Get Out (2017),2017,663227
5.7,23,-10,The Nun II (2023),2023,34960,23,-10,The Nun II (2023),2023,34960
6.4,24,+164,Friday the 13th (1980),1980,152424,24,+164,Friday the 13th (1980),1980,152424
6.8,26,-12,A Haunting in Venice (2023),2023,32223,26,-12,A Haunting in Venice (2023),2023,32223
