id,rank,rankUpDown,title,fullTitle,year,image,crew,imDbRating,imDbRatingCount
tt13287846,1,+11,Napoleon,Napoleon (2023),2023,https://m.media-amazon.com/images/M/MV5BZWIzNDAxMTktMDMzZS00ZjJmLTlhNjYtOGUxYmZlYzVmOGE4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio0.6763_AL_.jpg,"Ridley Scott (director), Joaquin Phoenix, Vanessa Kirby, Tahar Rahim, Rupert Everett",6.6,46202
tt10545296,2,+1,The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes (2023),2023,https://m.media-amazon.com/images/M/MV5BOTZmMmY2MzctMjU2Yy00YjJlLTk1NjAtY2U4MmMxOWZkZWY4XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_Ratio0.6763_AL_.jpg,"Francis Lawrence (director), Rachel Zegler, Tom Blyth, Viola Davis, Dexter Sol Ansell",7.2,41213
tt1136617,3,-2,The Killer,The Killer (2023),2023,https://m.media-amazon.com/images/M/MV5BZGJkMDUwZWQtYTMzMS00NTg5LWE1ZTYtOTVhMDI4NGI1YjMyXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio0.6763_AL_.jpg,"David Fincher (director), Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard",6.8,122530
tt5755238,4,+431,Leo,Leo (2023),2023,https://m.media-amazon.com/images/M/MV5BZDNiZWI3ZmItMjY4OS00Mjk5LThlNjktMmMwZDM1OTEwOGVmXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_Ratio0.6763_AL_.jpg,"Robert Marianetti (director), Robert Smigel (director), David Wachtenheim (director), Adam Sandler, Bill Burr, Cecily Strong, Jason Alexander",7,12979
tt1448754,5,+6,Thanksgiving,Thanksgiving (2023),2023,https://m.media-amazon.com/images/M/MV5BOGZhOGJjZTAtOTJmYS00ZTk2LTgxYWEtNjM3ZmUxMjY2NWFiXkEyXkFqcGdeQXVyNjU2NTI4MjE@._V1_Ratio0.6763_AL_.jpg,"Eli Roth (director), Patrick Dempsey, Ty Olsson, Gina Gershon, Gabriel Davenport",7,10150
tt15398776,6,+1,Oppenheimer,Oppenheimer (2023),2023,https://m.media-amazon.com/images/M/MV5BMDBmYTZjNjUtN2M1MS00MTQ2LTk2ODgtNzc2M2QyZGE5NTVjXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_Ratio0.6763_AL_.jpg,"Christopher Nolan (director), Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr.",8.4,530480
tt17351924,7,+7,Saltburn,Saltburn (2023),2023,https://m.media-amazon.com/images/M/MV5BM2NmMDQ1ZWEtNDU4OS00MGIxLWEyMGMtMTM2YmFkYzNhYmMxXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_Ratio0.6763_AL_.jpg,"Emerald Fennell (director), Barry Keoghan, Jacob Elordi, Archie Madekwe, Sadie Soverall",7.5,8851
tt10676048,8,-6,The Marvels,The Marvels (2023),2023,https://m.media-amazon.com/images/M/MV5BM2U2YWU5NWMtOGI2Ni00MGMwLWFkNjItMjgyZWMxNjllNTMzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_Ratio0.6763_AL_.jpg,"Nia DaCosta (director), Brie Larson, Teyonah Parris, Iman Vellani, Samuel L. Jackson",6,58243
tt11304740,9,+24,Wish,Wish (2023),2023,https://m.media-amazon.com/images/M/MV5BYWQ4M2ZmODItNzZhYi00MzY1LTk2ZmItYTUwODI2NzJmN2JiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_Ratio0.6763_AL_.jpg,"Chris Buck (director), Fawn Veerasunthorn (director), Ariana DeBose, Chris Pine, Alan Tudyk, Angelique Cabral",5.9,7458
tt11858890,10,-2,The Creator,The Creator (2023),2023,https://m.media-amazon.com/images/M/MV5BNDUyNTIzNDQtYTZmMi00M2FlLTgyZjUtYWViZWNhMDYzMjE4XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_Ratio0.6763_AL_.jpg,"Gareth Edwards (director), John David Washington, Madeleine Yuna Voyles, Gemma Chan, Allison Janney",6.9,81285
